Data	Ora	Grupa	Echipa 1	Echipa 2
25.06.2025	19:30	GRUPA D	WenDeagle 	Shashlik 
25.06.2025	20:15	GRUPA D	Shashlik 	Rumina 
25.06.2025	20:15	GRUPA D	Coli 	WenDeagle 
25.06.2025	20:15	GRUPA D	K9 Team 	Into the Breach 
25.06.2025	21:00	GRUPA D	Into the Breach 	Rumina 
25.06.2025	21:00	GRUPA D	K9 Team 	WenDeagle 
25.06.2025	21:00	GRUPA D	Coli 	Shashlik 
26.06.2025	18:00	GRUPA E	XPlosion 	LYSQ 
26.06.2025	18:00	GRUPA E	Cadian Team 	Bloody 
26.06.2025	18:00	GRUPA E	KostiujeniKlinik 	Flux Line 
26.06.2025	18:45	GRUPA E	Flux Line 	LYSQ 
26.06.2025	18:45	GRUPA E	KostiujeniKlinik 	Bloody 
26.06.2025	18:45	GRUPA E	XPlosion 	Cadian Team 
26.06.2025	19:30	GRUPA E	Cadian Team 	LYSQ 
26.06.2025	19:30	GRUPA E	XPlosion 	KostiujeniKlinik 
26.06.2025	19:30	GRUPA E	Flux Line 	Bloody 
26.06.2025	20:15	GRUPA E	Bloody 	LYSQ 
26.06.2025	20:15	GRUPA E	XPlosion 	Flux Line 
26.06.2025	20:15	GRUPA E	Cadian Team 	KostiujeniKlinik 
26.06.2025	21:00	GRUPA E	KostiujeniKlinik 	LYSQ 
26.06.2025	21:00	GRUPA E	Cadian Team 	Flux Line 
26.06.2025	21:00	GRUPA E	XPlosion 	Bloody 
27.06.2025	18:00	GRUPA F	Wenzo	X-one
27.06.2025	18:00	GRUPA F	Robotaim 	Brigada 
27.06.2025	18:00	GRUPA F	Auratix 	Killuminaty 
27.06.2025	18:45	GRUPA F	Killuminaty 	X-one
27.06.2025	18:45	GRUPA F	Auratix 	Brigada 
27.06.2025	18:45	GRUPA F	Wenzo	Robotaim 
27.06.2025	19:30	GRUPA F	Robotaim 	X-one
27.06.2025	19:30	GRUPA F	Wenzo	Auratix 
27.06.2025	19:30	GRUPA F	Killuminaty 	Brigada 
27.06.2025	20:15	GRUPA F	Brigada 	X-one
27.06.2025	20:15	GRUPA F	Wenzo	Killuminaty 
27.06.2025	20:15	GRUPA F	Robotaim 	Auratix 
27.06.2025	21:00	GRUPA F	Auratix 	X-one
27.06.2025	21:00	GRUPA F	Robotaim 	Killuminaty 
27.06.2025	21:00	GRUPA F	Wenzo	Brigada 
28.06.2025	18:00	GRUPA G	Cipok 	VeryGoodTeam 
28.06.2025	18:00	GRUPA G	Cucumba 	Trigger 
28.06.2025	18:00	GRUPA G	Golden Five 	Onyx 
28.06.2025	18:45	GRUPA G	Onyx 	VeryGoodTeam 
28.06.2025	18:45	GRUPA G	Golden Five 	Trigger 
28.06.2025	18:45	GRUPA G	Cipok 	Cucumba 
28.06.2025	19:30	GRUPA G	Cucumba 	VeryGoodTeam 
28.06.2025	19:30	GRUPA G	Cipok 	Golden Five 
28.06.2025	19:30	GRUPA G	Onyx 	Trigger 
28.06.2025	20:15	GRUPA G	Trigger 	VeryGoodTeam 
28.06.2025	20:15	GRUPA G	Cipok 	Onyx 
28.06.2025	20:15	GRUPA G	Cucumba 	Golden Five 
28.06.2025	21:00	GRUPA G	Golden Five 	VeryGoodTeam 
28.06.2025	21:00	GRUPA G	Cucumba 	Onyx 
28.06.2025	21:00	GRUPA G	Cipok 	Trigger 
